id,trial,x,y,ymax,kernel,scenario,horizon,round,reward,experimentDuration,instructionsDuration,overall,Horizon
2,8,22,34.3240858694,100,Rough,Avg. Reward Condition,10,5,1.04,0:03:54,0:00:42,21,Long
2,9,21,56.917625881,100,Rough,Avg. Reward Condition,10,5,1.04,0:03:54,0:00:42,21,Long
2,10,23,5.3177652225,100,Rough,Avg. Reward Condition,10,5,1.04,0:03:54,0:00:42,21,Long
2,11,24,9.4889624341,100,Rough,Avg. Reward Condition,10,5,1.04,0:03:54,0:00:42,21,Long
2,1,12,68.0067333979,94,Rough,Avg. Reward Condition,5,6,1.04,0:03:54,0:00:42,22,Short
2,2,11,91.2163586449,99,Rough,Avg. Reward Condition,5,6,1.04,0:03:54,0:00:42,22,Short
2,3,10,91.2163586449,99,Rough,Avg. Reward Condition,5,6,1.04,0:03:54,0:00:42,22,Short
2,4,9,91.2163586449,99,Rough,Avg. Reward Condition,5,6,1.04,0:03:54,0:00:42,22,Short
2,5,13,91.2163586449,99,Rough,Avg. Reward Condition,5,6,1.04,0:03:54,0:00:42,22,Short
2,6,14,91.2163586449,99,Rough,Avg. Reward Condition,5,6,1.04,0:03:54,0:00:42,22,Short
2,1,0,90.1523928234,42,Rough,Avg. Reward Condition,10,7,1.04,0:03:54,0:00:42,23,Long
2,2,3,66.9550943144,42,Rough,Avg. Reward Condition,10,7,1.04,0:03:54,0:00:42,23,Long
2,3,8,90.1523928234,70,Rough,Avg. Reward Condition,10,7,1.04,0:03:54,0:00:42,23,Long
2,4,6,90.1523928234,70,Rough,Avg. Reward Condition,10,7,1.04,0:03:54,0:00:42,23,Long
2,5,9,90.1523928234,92,Rough,Avg. Reward Condition,10,7,1.04,0:03:54,0:00:42,23,Long
2,6,10,90.1523928234,92,Rough,Avg. Reward Condition,10,7,1.04,0:03:54,0:00:42,23,Long
2,7,15,90.1523928234,92,Rough,Avg. Reward Condition,10,7,1.04,0:03:54,0:00:42,23,Long
